Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/8/2015,Cat_1,Cat_2,NA,48146,high,23633,32419,NA,NA,12773,NA,21867,38857,144768,173458,69360,NA,34073,NA
1/8/2015,Cat_3,Cat_2,NA,6919,low,2839,5556,NA,NA,1484,NA,1966,6281,19676,23147,13096,NA,5706,NA
1/8/2015,Cat_1,Cat_3,NA,3155,low,3597,1799,NA,NA,567,NA,1893,739,2281,2722,1447,NA,812,NA
1/8/2015,Cat_3,Cat_3,NA,349,low,620,289,NA,NA,104,NA,249,117,423,556,294,NA,181,NA
1/8/2015,Cat_1,Cat_4,NA,9235,low,10219,5779,NA,NA,2688,NA,4845,7083,13787,16528,8101,NA,7049,NA
1/8/2015,Cat_3,Cat_4,NA,1164,low,1018,857,NA,NA,305,NA,559,716,1248,1637,867,NA,719,NA
1/8/2015,Cat_1,Cat_5,NA,64799,high,24407,43101,NA,NA,9026,NA,20214,38616,115588,142991,72323,NA,47605,NA
1/8/2015,Cat_3,Cat_5,NA,11087,low,4172,9306,NA,NA,1846,NA,2704,8759,23946,24469,15225,NA,7518,NA
1/8/2015,Cat_1,Cat_6,NA,42,low,31,NA,NA,NA,42,NA,NA,NA,27,30,NA,NA,29,NA
1/8/2015,Cat_4,Cat_6,NA,13774,high,73408,58387,NA,NA,17422,NA,46399,47057,155071,205452,76688,NA,60210,NA
1/8/2015,Cat_1,Cat_7,NA,12684,low,17501,13808,NA,NA,4052,NA,4614,7195,17103,20880,11762,NA,6790,NA
1/8/2015,Cat_3,Cat_7,NA,983,low,1352,963,NA,NA,457,NA,238,696,1299,1861,942,NA,785,NA
1/8/2015,Cat_1,Cat_8,NA,110420,high,44670,70748,NA,NA,14334,NA,36275,99686,246995,292969,126487,NA,124239,NA
1/8/2015,Cat_3,Cat_8,NA,18609,low,7675,12461,NA,NA,2489,NA,3749,15788,38221,47077,22907,NA,21473,NA
1/8/2015,Cat_1,Cat_9,NA,6201,low,5074,4895,NA,NA,848,NA,1803,4756,7772,11154,4443,NA,5351,NA
1/8/2015,Cat_3,Cat_9,NA,2055,low,1033,4424,NA,NA,278,NA,1591,2303,4180,6655,2800,NA,2228,NA
1/9/2015,Cat_1,Cat_1,NA,6102,low,4342,4991,NA,NA,2046,NA,2208,4722,11256,13491,7769,NA,3020,NA
1/9/2015,Cat_3,Cat_1,NA,1560,low,763,1024,NA,NA,455,NA,314,1337,2249,2633,1605,NA,926,NA
1/9/2015,Cat_1,Cat_10,NA,400,low,336,166,NA,NA,311,NA,169,240,589,674,255,NA,173,NA
1/9/2015,Cat_3,Cat_10,NA,28,low,63,32,NA,NA,43,NA,32,69,41,55,46,NA,31,NA
1/9/2015,Cat_1,Cat_11,NA,32,low,28,29,NA,NA,27,NA,NA,32,29,31,28,NA,27,NA
1/9/2015,Cat_1,Cat_2,NA,46594,low,19239,32902,NA,NA,11131,NA,17704,36058,128259,151534,80048,NA,30009,NA
1/9/2015,Cat_3,Cat_2,NA,7845,low,2729,5559,NA,NA,1448,NA,1677,7709,19989,24309,13436,NA,5877,NA
1/9/2015,Cat_1,Cat_3,NA,3233,low,2708,2486,NA,NA,723,NA,1480,1405,4432,5459,3039,NA,1323,NA
1/9/2015,Cat_3,Cat_3,NA,374,low,360,350,NA,NA,129,NA,201,243,586,796,473,NA,117,NA
1/9/2015,Cat_1,Cat_4,NA,10645,low,8597,5838,NA,NA,2270,NA,3746,6059,11371,16890,7341,NA,6761,NA
1/9/2015,Cat_3,Cat_4,NA,785,low,781,690,NA,NA,185,NA,224,575,1243,1406,811,NA,541,NA
1/9/2015,Cat_1,Cat_5,NA,56616,high,23542,38297,NA,NA,9289,NA,21086,39465,114381,124364,66368,NA,35526,NA
1/9/2015,Cat_3,Cat_5,NA,11122,low,4727,8074,NA,NA,2087,NA,2614,7857,22255,28575,13944,NA,6172,NA
1/9/2015,Cat_1,Cat_6,NA,33,low,40,NA,NA,NA,29,NA,NA,NA,40,47,NA,NA,31,NA
1/9/2015,Cat_4,Cat_6,NA,11637,high,58275,55014,NA,NA,16853,NA,38974,46753,119553,203267,24569,NA,58952,NA
1/9/2015,Cat_1,Cat_7,NA,14868,low,16616,13373,NA,NA,4615,NA,3801,7653,16774,21815,11649,NA,5435,NA
1/9/2015,Cat_3,Cat_7,NA,1000,low,1144,1137,NA,NA,561,NA,322,616,1374,1669,969,NA,385,NA
1/9/2015,Cat_1,Cat_8,NA,122928,high,43166,64559,NA,NA,13381,NA,29843,93580,205644,269258,129738,NA,118477,NA
1/9/2015,Cat_3,Cat_8,NA,19471,low,6875,11931,NA,NA,2225,NA,3508,17238,34183,41497,25132,NA,18020,NA
1/9/2015,Cat_1,Cat_9,NA,5584,low,3147,4405,NA,NA,856,NA,1449,4560,8908,13015,6420,NA,5174,NA
1/9/2015,Cat_3,Cat_9,NA,2413,low,646,3914,NA,NA,315,NA,1517,1917,3407,6120,2742,NA,1592,NA
1/10/2015,Cat_1,Cat_1,NA,4730,low,3702,4234,NA,NA,2007,NA,1147,3139,7492,8687,4687,NA,2291,NA
1/10/2015,Cat_3,Cat_1,NA,1226,low,877,997,NA,NA,560,NA,223,721,1870,2115,1336,NA,362,NA
1/10/2015,Cat_1,Cat_10,NA,339,low,340,269,NA,NA,210,NA,68,288,551,644,321,NA,128,NA
1/10/2015,Cat_3,Cat_10,NA,54,low,44,69,NA,NA,40,NA,47,60,58,72,58,NA,30,NA
1/10/2015,Cat_1,Cat_11,NA,44,low,46,31,NA,NA,31,NA,NA,43,43,62,48,NA,29,NA
1/10/2015,Cat_1,Cat_2,NA,40599,high,17238,38534,NA,NA,9059,NA,11699,32654,114009,136077,67424,NA,29111,NA
1/10/2015,Cat_3,Cat_2,NA,11919,low,3958,9730,NA,NA,2500,NA,2687,10094,30857,32773,17892,NA,7069,NA
1/10/2015,Cat_1,Cat_3,NA,1623,low,1285,1630,NA,NA,360,NA,700,550,2074,2591,1544,NA,497,NA
1/10/2015,Cat_3,Cat_3,NA,330,low,273,420,NA,NA,118,NA,141,170,476,559,362,NA,119,NA
1/10/2015,Cat_1,Cat_4,NA,10544,low,9021,6843,NA,NA,1974,NA,2935,5460,13523,15841,9347,NA,7068,NA
1/10/2015,Cat_3,Cat_4,NA,981,low,1681,860,NA,NA,337,NA,289,728,1369,1828,801,NA,713,NA
1/10/2015,Cat_1,Cat_5,NA,60632,high,23841,42416,NA,NA,9795,NA,13789,44905,103273,122160,71470,NA,34462,NA
1/10/2015,Cat_3,Cat_5,NA,17490,low,7444,13556,NA,NA,3540,NA,3669,13946,37181,38468,20579,NA,10799,NA
1/10/2015,Cat_1,Cat_6,NA,32,low,29,NA,NA,NA,29,NA,NA,NA,30,27,NA,NA,32,NA
1/10/2015,Cat_4,Cat_6,NA,15107,high,85166,81983,NA,NA,18177,NA,61041,60315,168020,250311,87649,NA,80662,NA
1/10/2015,Cat_1,Cat_7,NA,12714,low,17231,12342,NA,NA,3731,NA,2159,7197,15210,22064,11286,NA,4958,NA
1/10/2015,Cat_3,Cat_7,NA,1552,low,1680,1395,NA,NA,558,NA,178,1148,1593,2338,1168,NA,708,NA
